State,AD,cost,medicare,clustering,classification
Alabama,93.17,775,6100,1,3
Alaska,7.817,65,1877,1,4
Arizona,141.7,388,11658,1,1
Arkansas,57,371,6801,1,2
California,670,3720,106143,2,1
Colorado,73,517,8669,1,1
Connecticut,77,874,6827,1,3
Delaware,18.83,216,2508,1,3
District of Columbia,8.883,113,2921,1,4
Florida,540,2165,23665,2,3
Georgia,148.3,1004,11730,1,3
Hawaii,27.83,194,2270,1,4
Idaho,24.83,121,2091,1,1
Illinois,231.7,1633,20731,1,3
Indiana,110,869,10901,1,3
Iowa,64.83,590,5000,1,2
Kansas,52.83,369,3653,1,2
Kentucky,72,727,10167,1,3
Louisiana,88.17,660,8434,1,2
Maine,27.83,201,2741,1,3
Maryland,101.17,1004,10868,1,3
Massachusetts,120,1512,17963,1,3
Michigan,180,1245,18398,1,3
Minnesota,95.17,809,12361,1,2
Mississippi,55,550,5785,1,3
Missouri,110,927,10651,1,2
Montana,20.83,117,1380,1,1
Nebraska,33,326,2230,1,2
Nevada,47,120,3681,1,1
New Hampshire,26,225,2167,1,3
New Jersey,170,1803,16613,2,3
New Mexico,40,147,5531,1,1
New York,401.7,5438,59306,2,3
North Carolina,160,1148,15062,1,3
North Dakota,14,140,7,1,2
Ohio,210,2086,24341,2,3
Oklahoma,66.17,406,4801,1,2
Oregon,66.17,216,10074,1,1
Pennsylvania,270,3290,26217,2,3
Rhode Island,24.17,418,3122,1,3
South Carolina,91.17,510,6220,1,3
South Dakota,18.17,159,1004,1,2
Tennessee,110,875,10593,1,3
Texas,380,2923,37182,2,2
Utah,31.17,162,2612,1,1
Vermont,12,102,1760,1,3
Virginia,151.7,746,9733,1,3
Washington,118.33,477,12436,1,1
West Virginia,38.17,446,4317,1,3
Wisconsin,110,649,8925,1,3
Wyoming,10,63,784,1,1
