State,AD,cost,medicare,clustering,classification
Alabama,97.67,742,6704,1,3
Alaska,8.867,74,2218,1,4
Arizona,156.7,472,12421,1,1
Arkansas,60,425,7750,1,2
California,730,4104,121672,2,1
Colorado,79,571,9652,1,1
Connecticut,80,865,6058,1,3
Delaware,20.33,222,2993,1,3
District of Columbia,8.733,110,3322,1,4
Florida,570,1994,25307,2,3
Georgia,163.3,953,13215,1,3
Hawaii,29.33,191,2463,1,4
Idaho,26.33,109,2363,1,1
Illinois,246.7,1735,23500,1,3
Indiana,110,803,12080,1,3
Iowa,66.33,578,5327,1,2
Kansas,54.33,318,4112,1,2
Kentucky,75,790,10668,1,3
Louisiana,92.67,663,8716,1,2
Maine,29.33,222,2862,1,3
Maryland,102.67,947,11854,1,3
Massachusetts,120,1455,19762,1,3
Michigan,180,1164,20235,1,3
Minnesota,99.67,851,13426,1,2
Mississippi,58,571,6257,1,3
Missouri,110,1053,11434,1,2
Montana,22.33,84,1553,1,1
Nebraska,33,350,2486,1,2
Nevada,53,63,4095,1,1
New Hampshire,29,225,2494,1,3
New Jersey,170,1677,18397,2,3
New Mexico,43,102,5979,1,1
New York,416.7,6698,58931,2,3
North Carolina,160,1202,16246,1,3
North Dakota,14,101,7,1,2
Ohio,210,1852,26398,2,3
Oklahoma,70.67,355,4655,1,2
Oregon,70.67,207,11579,1,1
Pennsylvania,270,3371,28334,2,3
Rhode Island,25.67,421,3514,1,3
South Carolina,98.67,459,6412,1,3
South Dakota,19.67,162,1147,1,2
Tennessee,110,779,11679,1,3
Texas,410,3568,38217,2,2
Utah,32.67,177,2923,1,1
Vermont,12,108,1855,1,3
Virginia,166.7,626,10956,1,3
Washington,133.33,501,13797,1,1
West Virginia,39.67,524,4798,1,3
Wisconsin,110,592,9637,1,3
Wyoming,10.9,51,948,1,1
