State,AD,cost,medicare,clustering,classification
Alabama,94.67,764,6301,1,3
Alaska,8.167,68,1991,1,4
Arizona,146.7,416,11912,1,1
Arkansas,58,389,7117,1,2
California,690,3848,111319,2,1
Colorado,75,535,8997,1,1
Connecticut,78,871,6571,1,3
Delaware,19.33,218,2670,1,3
District of Columbia,8.833,112,3055,1,4
Florida,550,2108,24213,2,3
Georgia,153.3,987,12225,1,3
Hawaii,28.33,193,2334,1,4
Idaho,25.33,117,2182,1,1
Illinois,236.7,1667,21654,1,3
Indiana,110,847,11294,1,3
Iowa,65.33,586,5109,1,2
Kansas,53.33,352,3806,1,2
Kentucky,73,748,10334,1,3
Louisiana,89.67,661,8528,1,2
Maine,28.33,208,2781,1,3
Maryland,101.67,985,11197,1,3
Massachusetts,120,1493,18563,1,3
Michigan,180,1218,19010,1,3
Minnesota,96.67,823,12716,1,2
Mississippi,56,557,5942,1,3
Missouri,110,969,10912,1,2
Montana,21.33,106,1438,1,1
Nebraska,33,334,2315,1,2
Nevada,49,101,3819,1,1
New Hampshire,27,225,2276,1,3
New Jersey,170,1761,17208,2,3
New Mexico,41,132,5680,1,1
New York,406.7,5858,59181,2,3
North Carolina,160,1166,15457,1,3
North Dakota,14,127,7,1,2
Ohio,210,2008,25026,2,3
Oklahoma,67.67,389,4752,1,2
Oregon,67.67,213,10576,1,1
Pennsylvania,270,3317,26922,2,3
Rhode Island,24.67,419,3253,1,3
South Carolina,93.67,493,6284,1,3
South Dakota,18.67,160,1052,1,2
Tennessee,110,843,10955,1,3
Texas,390,3138,37527,2,2
Utah,31.67,167,2715,1,1
Vermont,12,104,1792,1,3
Virginia,156.7,706,10141,1,3
Washington,123.33,485,12890,1,1
West Virginia,38.67,472,4477,1,3
Wisconsin,110,630,9162,1,3
Wyoming,10.3,59,839,1,1
