State,AD,cost,medicare,clustering,classification
Alabama,99.17,731,6906,1,3
Alaska,9.217,77,2332,1,4
Arizona,161.7,500,12675,1,1
Arkansas,61,443,8066,1,2
California,750,4232,126848,2,1
Colorado,81,589,9980,1,1
Connecticut,81,862,5801,1,3
Delaware,20.83,224,3154,1,3
District of Columbia,8.683,109,3456,1,4
Florida,580,1937,25854,2,3
Georgia,168.3,936,13710,1,3
Hawaii,29.83,190,2527,1,4
Idaho,26.83,105,2453,1,1
Illinois,251.7,1769,24423,1,3
Indiana,110,781,12474,1,3
Iowa,66.83,574,5436,1,2
Kansas,54.83,301,4265,1,2
Kentucky,76,811,10835,1,3
Louisiana,94.17,664,8810,1,2
Maine,29.83,229,2902,1,3
Maryland,103.17,928,12183,1,3
Massachusetts,120,1436,20361,1,3
Michigan,180,1137,20847,1,3
Minnesota,101.17,865,13781,1,2
Mississippi,59,578,6414,1,3
Missouri,110,1095,11694,1,2
Montana,22.83,73,1611,1,1
Nebraska,33,358,2572,1,2
Nevada,55,44,4234,1,1
New Hampshire,30,225,2603,1,3
New Jersey,170,1635,18992,2,3
New Mexico,44,87,6129,1,1
New York,421.7,7118,58806,2,3
North Carolina,160,1220,16641,1,3
North Dakota,14,88,7,1,2
Ohio,210,1774,27083,2,3
Oklahoma,72.17,338,4606,1,2
Oregon,72.17,204,12081,1,1
Pennsylvania,270,3398,29039,2,3
Rhode Island,26.17,422,3645,1,3
South Carolina,101.17,442,6476,1,3
South Dakota,20.17,163,1195,1,2
Tennessee,110,747,12041,1,3
Texas,420,3783,38562,2,2
Utah,33.17,182,3027,1,1
Vermont,12,110,1886,1,3
Virginia,171.7,586,11363,1,3
Washington,138.33,509,14251,1,1
West Virginia,40.17,550,4958,1,3
Wisconsin,110,573,9875,1,3
Wyoming,11.2,47,1002,1,1
