State,AD,cost,medicare,clustering,classification
Alabama,102.17,709,7308,1,3
Alaska,9.917,83,2559,1,4
Arizona,171.7,556,13184,1,1
Arkansas,63,479,8698,1,2
California,790,4488,137201,2,1
Colorado,85,625,10635,1,1
Connecticut,83,856,5288,1,3
Delaware,21.83,228,3477,1,3
District of Columbia,8.583,107,3723,1,4
Florida,600,1823,26949,2,3
Georgia,178.3,902,14699,1,3
Hawaii,30.83,188,2656,1,4
Idaho,27.83,97,2634,1,1
Illinois,261.7,1837,26269,1,3
Indiana,110,737,13260,1,3
Iowa,67.83,566,5654,1,2
Kansas,55.83,267,4571,1,2
Kentucky,78,853,11169,1,3
Louisiana,97.17,666,8997,1,2
Maine,30.83,243,2982,1,3
Maryland,104.17,890,12841,1,3
Massachusetts,120,1398,21561,1,3
Michigan,180,1083,22072,1,3
Minnesota,104.17,893,14492,1,2
Mississippi,61,592,6728,1,3
Missouri,110,1179,12216,1,2
Montana,23.83,51,1726,1,1
Nebraska,33,374,2743,1,2
Nevada,59,6,4510,1,1
New Hampshire,32,225,2821,1,3
New Jersey,170,1551,20181,2,3
New Mexico,46,57,6427,1,1
New York,431.7,7958,58556,2,3
North Carolina,160,1256,17430,1,3
North Dakota,14,62,7,1,2
Ohio,210,1618,28455,2,3
Oklahoma,75.17,304,4508,1,2
Oregon,75.17,198,13085,1,1
Pennsylvania,270,3452,30450,2,3
Rhode Island,27.17,424,3907,1,3
South Carolina,106.17,408,6605,1,3
South Dakota,21.17,165,1291,1,2
Tennessee,110,683,12765,1,3
Texas,440,4213,39251,2,2
Utah,34.17,192,3235,1,1
Vermont,12,114,1949,1,3
Virginia,181.7,506,12178,1,3
Washington,148.33,525,15159,1,1
West Virginia,41.17,602,5279,1,3
Wisconsin,110,535,10350,1,3
Wyoming,11.8,39,1111,1,1
